"symbol","pump24h","pumpDate","ageDays","compress","volRatio","pos","r14d","dd","oi","fund","compressLag","volRatioLag","posLag","r14dLag","ddLag","oiLag","fundLag"
"CVXUSDT","9.2","04-16 14:00","368","0.52","1.09","52","4.9","-5.2",,"0.0038","0.69","1.1","54","-0.8","-5.3",,"0.0038"
"SLPUSDT","30","04-24 09:00","368","0.73","0.58","77","14.3","-7.5",,"0.0048","1.09","0.58","10","11.2","-10.6",,"0.0048"
"ZORAUSDT","12.1","04-07 01:00","366","2.04","1.14","50","-11","-13.9",,"-0.0185","0.62","0.76","70","-9.5","-15.2",,"-0.0133"
"TAGUSDT","97","05-01 16:00","366","5.08","8.43","94","12.4","-17.9",,"0.0306","7.61","4.64","93","-5.1","-33.6",,"0.0097"
"ESPORTSUSDT","41.1","04-23 17:00","362","1.39","0.74","48","-20.2","-26.5",,"0.005","1.24","1.64","23","-23.4","-28.4",,"0.005"
"TREEUSDT","37.1","04-05 15:00","361","0.84","0.46","52","-11.5","-14.6",,"0.005","0.43","0.45","68","-15.5","-13.8",,"0.005"
"PLAYUSDT","113.4","04-14 19:00","360","0.32","0.26","68","88.1","-10.3",,"0.0551","0.28","0.36","100","78.4","-1.7",,"0.0185"
"NAORISUSDT","50.7","04-28 14:00","360","0.8","4.52","26","50","-25.2",,"0.0205","1.78","4.24","94","67.1","-7.6",,"0.023"
"TOWNSUSDT","15.9","04-17 14:00","354","0.34","0.69","81","1.3","-18.1",,"0.0046","0.45","0.98","73","2","-20.1",,"-0.0026"
"PROVEUSDT","7.1","04-21 03:00","354","1.64","1.26","70","7.9","-38.1",,"0.0034","1.37","1.3","17","5.4","-41",,"0.0034"
"ALLUSDT","6.6","04-15 23:00","354","0.71","2.08","93","13.9","-0.3",,"-0.0367","1.15","1.75","64","10.8","-2.2",,"-0.0076"
"INUSDT","110","04-14 06:00","353","1.95","0.86","49","7.6","-8.9",,"0.0036","0.6","0.25","8","1.5","-16.2",,"0.005"
"CARVUSDT","14.6","04-16 12:00","352","0.39","0.42","88","4","-11.1",,"0.005","0.38","0.34","49","-5.3","-14.9",,"0.005"
"AIOUSDT","65.3","04-11 18:00","347","1.35","1.68","45","-13.9","-20.3",,"0.0197","0.94","0.7","53","-8.7","-23.8",,"0.005"
"XNYUSDT","59.4","04-12 04:00","347","0.7","1.17","19","-51.5","-58.8",,"0.0137","0.92","1.31","14","-51.7","-59.5",,"0.0247"
"USELESSUSDT","31","04-13 10:00","345","1.75","1.02","9","21.7","-15.1",,"0.005","1.04","1.9","24","33.2","-12.1",,"0.005"
"SAPIENUSDT","68.7","04-16 11:00","339","0.83","0.48","33","14.4","-10.8",,"0.005","1.22","0.49","25","13.9","-11.4",,"0.005"
"XPLUSDT","41.2","04-01 20:00","338","2.48","1.91","90","14.3","-1.9",,"0.0036","1.09","0.91","86","-3.7","-10.4",,"0.0024"
"WLFIUSDT","5.2","04-13 13:00","337","1.32","0.81","65","-20.2","-25.1",,"-0.0071","2.35","1.64","45","-18.2","-25",,"-0.0112"
"SOMIUSDT","34.8","04-25 00:00","335","0.71","0.59","68","3.5","-9.7",,"0.0034","0.98","0.6","44","4.7","-10.9",,"0.0035"
"BASUSDT","70.7","04-20 22:00","333","1.16","1.61","90","71.6","-24.2",,"0.036","0.6","0.61","87","38","-37.6",,"0.0282"
"BTRUSDT","41.4","04-18 03:00","333","2.19","1.08","56","25.2","-84",,"0.0307","1.83","1.22","67","18.4","-85",,"0.0269"
"MITOUSDT","14.7","04-01 15:00","331","0.82","0.74","71","-21.7","-9.8",,"0.005","1.11","0.97","61","-19.5","-11.6",,"0.005"
"HEMIUSDT","62.8","04-01 13:00","331","1.39","1.05","20","-25.3","-19.5",,"0.0038","2.61","1.59","45","-24.1","-18.1",,"0.0038"
