"symbol","pump24h","pumpDate","ageDays","compress","volRatio","pos","r14d","dd","oi","fund","compressLag","volRatioLag","posLag","r14dLag","ddLag","oiLag","fundLag"
"ARUSDT","10.6","06-28 18:00","1762","1.12","0.45","18","-8.1","-15",,"0.0032","1.56","0.68","47","0.8","-14.1",,"0.0049"
"ARPAUSDT","59","07-02 11:00","1742","0.69","0.82","91","-3.4","-17.7",,"0.01","0.36","0.5","29","-10.3","-20.7",,"0.01"
"CTSIUSDT","10.2","06-30 20:00","1735","0.72","1.45","32","-11.7","-12.9",,"0.0087","1.63","1.88","53","-9.5","-11.7",,"0.0087"
"LPTUSDT","6.5","06-26 02:00","1719","1.59","1.08","25","7.4","-19.2",,"-0.0006","2.64","1.31","42","10.4","-14.9",,"-0.0084"
"ENSUSDT","8.7","07-16 14:00","1700","0.85","1.46","30","0.2","-26.7","4.8","0.0015","1.22","1.05","87","5.9","-24.3","8.4","-0.0048"
"PEOPLEUSDT","11.3","07-08 08:00","1676","1.11","0.88","17","-3.2","-13.1","0.7","0.01","1.43","0.94","38","-1.2","-11.3","3.5","0.01"
"ROSEUSDT","7","07-03 04:00","1668","0.45","0.75","68","-10.4","-23.8",,"0.01","0.56","0.88","92","-13.8","-23.7",,"0.0084"
"DUSKUSDT","8.7","07-20 12:00","1662","0.51","0.7","42","-14.3","-35.8","3.3","0.0043","0.87","0.71","4","-16.9","-35.5","8","0.0035"
"FLOWUSDT","5.6","06-28 17:00","1628","1.29","0.55","61","-3.2","-15.8",,"0.0029","1.44","0.87","42","9.4","-15.5",,"0.003"
"IMXUSDT","8.9","07-05 09:00","1627","2.77","1.45","51","-7","-13.2",,"0.005","1.02","1.34","77","-9.5","-15.6",,"0.0021"
"API3USDT","6.7","07-05 17:00","1616","1.18","1.02","13","-13","-23.4","1.4","0.0034","1.31","1.57","83","-11.7","-20.2",,"0.0046"
"GMTUSDT","8.2","06-25 13:00","1595","1.77","0.92","26","3.9","-14.5",,"0.0017","1.74","0.78","28","10.2","-9.7",,"0.0044"
"APEUSDT","19.5","06-25 13:00","1592","1.13","1.1","80","-5.9","-5.2",,"0.0014","1.25","1.05","44","-9.5","-5.5",,"0.0002"
"WOOUSDT","14.3","07-13 21:00","1571","0.89","0.87","8","2.2","-23.3","-1.1","-0.0052","0.58","0.59","28","8.2","-20.5","-7.5","0.0003"
"JASMYUSDT","9.3","06-25 13:00","1559","1.43","0.88","42","-0.9","-17.6",,"-0.0118","1.03","0.91","33","1.7","-17.2",,"-0.0035"
"OPUSDT","9.8","07-02 20:00","1516","0.56","0.8","71","-9.1","-12.1",,"-0.0041","1.09","0.78","18","-11.8","-15.8",,"-0.0058"
"INJUSDT","16","06-25 16:00","1440","1.08","1.09","33","-18.4","-30.9",,"-0.0046","1.09","0.78","3","-18.7","-30.2",,"-0.0104"
"STGUSDT","17.6","07-06 01:00","1432","0.39","0.52","45","-26.3","-44.7","-2.5","-0.0323","0.45","0.49","27","-26.8","-44.3",,"-0.0423"
"SPELLUSDT","24.9","07-06 22:00","1420","1.79","1.42","35","-22.6","-41.2","-7.3","-0.0268","3.19","3.34","7","-24.5","-40.2","0.5","-0.0049"
"1000LUNCUSDT","9.6","06-25 01:00","1417","1.3","1.17","26","5.5","-23.7",,"-0.0049","0.64","1.03","37","11.2","-17.8",,"-0.0031"
"LUNA2USDT","7.6","06-25 17:00","1416","0.81","1.21","44","4.2","-15.4",,"0.0044","1.76","1.07","13","3.1","-16",,"0.0046"
"LDOUSDT","16.8","07-07 05:00","1404","1.43","1.15","67","4.7","-7","2","0.0074","1.55","0.98","44","-0.7","-10.4","-0.5","0.0054"
"ICPUSDT","8.1","07-08 18:00","1822","0.7","1.21","30","3.9","-16.2","-6.9","0.0002","0.92","1.29","80","4.3","-13.6","-4.5","0.0022"
"APTUSDT","6","07-01 12:00","1377","0.66","0.92","76","-12","-18.1",,"0.0019","0.51","0.78","12","-17","-20.8",,"0.0022"
"QNTUSDT","5.7","07-09 02:00","1377","0.73","1.05","48","-4","-11.2","-11.9","-0.0032","0.75","0.84","10","-6.3","-11.3","1.2","0.0023"
"FETUSDT","12.7","06-26 02:00","1288","0.96","1.14","35","9.3","-25.4",,"0.0007","1.25","1.03","62","13.1","-21",,"0.0015"
"MAGICUSDT","23.6","06-27 19:00","1280","0.52","0.59","48","-2.6","-18.4",,"0.0033","1.04","0.74","69","-0.1","-16.5",,"0.0047"
"TUSDT","67.2","07-11 10:00","1272","0.51","0.55","75","-0.8","-13","3.1","0.0029","0.67","0.99","79","4.2","-12.8","1.2","0.0002"
"MINAUSDT","11.9","07-05 07:00","1269","1.9","1.46","51","9.8","-4.9",,"0.0093","2.25","2.91","60","8.5","-6.3",,"0.0027"
"ASTRUSDT","5.8","07-01 09:00","1259","1.02","0.94","24","-16.2","-22.9",,"0.0039","0.53","0.68","10","-17.7","-21.1",,"0.0097"
"GMXUSDT","10","06-26 02:00","1256","1.15","1.15","44","-22.7","-16.5",,"0.0018","2.55","1.13","36","-18.4","-15.1",,"-0.0025"
"CFXUSDT","6.2","07-14 03:00","1253","1.78","1.56","19","0.1","-20.1","4.7","0.0037","0.99","1.56","33","3.4","-17.8","1.9","0.0067"
"STXUSDT","7.4","06-26 02:00","1252","1.06","1.36","23","-1","-18.7",,"-0.0092","2.42","1.35","45","2.8","-13.9",,"-0.0105"
"ACHUSDT","9.1","07-01 06:00","1251","0.73","0.91","8","-23.7","-27.1",,"0.0085","0.49","0.75","17","-20.3","-23.6",,"0.0034"
"SSVUSDT","6.8","07-01 12:00","1249","0.63","1.05","44","-15.9","-19.5",,"0.0076","0.46","0.97","35","-16.6","-19.1",,"0.0044"
"CKBUSDT","8.6","07-01 07:00","1245","1.28","1.02","15","-24.8","-30.4",,"0.0076","0.77","0.95","13","-21.1","-26.6",,"0.0039"
"LQTYUSDT","11.7","07-24 20:00","1236","0.89","0.7","20","-6.9","-28.6","2.8","0.007","1.32","1.46","13","-5.9","-28.5","-6.5","0.007"
"USDCUSDT","0.1","07-12 22:00","1232","3.11","0.46","0","-0.1","-0.2","-3.2","0.0024","0.92","0.85","59","0","-0.1","-4.1","0.0006"
"IDUSDT","16","07-02 14:00","1221","0.47","0.28","16","6.9","-26.9",,"-0.0192","0.39","0.3","12","4.6","-24.4",,"-0.0444"
"ARBUSDT","19.2","07-09 02:00","1221","0.81","1.22","55","2.3","-13.6","3.8","-0.0019","1.11","0.99","5","-2.4","-15.3","-0.7","0.0023"
"JOEUSDT","8.7","06-30 17:00","1216","0.69","0.83","36","-12.5","-16.4",,"0.003","0.99","0.56","63","-12.7","-14.1",,"0.0001"
"TLMUSDT","106","06-30 22:00","1215","0.44","0.5","20","-16.8","-29.8",,"0.005","0.65","0.7","43","-11","-26",,"0.005"
"HFTUSDT","26.4","06-30 23:00","1208","1.1","0.82","1","-25.2","-32.8",,"0.01","0.28","0.49","42","-18.6","-27",,"0.01"
"XVSUSDT","6.2","07-23 09:00","1201","0.57","0.64","46","9.1","-3","0.8","-0.0091","0.64","1.01","65","12.3","-2.6","7","-0.0054"
"BLURUSDT","66.1","07-06 11:00","1186","0.86","0.48","18","-5.3","-22.8","2.9","0.005","0.86","0.56","6","-4.2","-22.7",,"0.005"
"EDUUSDT","11.5","07-13 17:00","1185","1.3","0.87","5","-7.1","-11.8","2.4","0.01","0.94","1.01","14","-0.2","-7.7","1","0.01"
"SUIUSDT","6.7","06-26 02:00","1180","0.58","1.06","41","-9.2","-18.5",,"-0.0004","1.4","1.41","33","-11.8","-18.2",,"-0.0005"
"1000PEPEUSDT","15.8","07-03 04:00","1178","0.65","1.03","89","-11.4","-21.3",,"-0.0081","0.47","1.06","96","-16.6","-23.7",,"-0.0189"
"1000FLOKIUSDT","9.5","07-03 04:00","1177","0.45","0.88","80","-15.1","-19.7",,"-0.0001","0.38","0.69","71","-14.2","-21.1",,"0.0028"
"UMAUSDT","7.9","07-10 16:00","1174","0.95","0.96","74","-3.3","-19.5","5.1","0.0025","0.86","0.78","36","-1.1","-20.4","-0.8","0.0046"
"NMRUSDT","10.8","07-01 06:00","1130","1.32","1.25","78","4.9","-6.6",,"0.005","1.34","0.52","32","-3.5","-12.5",,"0.005"
"MAVUSDT","14.1","07-07 22:00","1123","1.09","0.78","4","-4.8","-17","-1.9","0.01","1.25","0.75","72","-2.6","-13.2","-2.3","0.01"
"XVGUSDT","12.4","07-19 07:00","1117","0.87","0.92","15","-9.6","-32.1","9","0.0228","1.54","1.13","24","-9.6","-31.3","7.4","0.0191"
"WLDUSDT","17.4","07-02 01:00","1098","0.87","0.84","13","-43.9","-49.5",,"0.007","0.46","0.67","10","-42.2","-43.9",,"0.007"
"PENDLEUSDT","13.6","07-01 12:00","1094","0.53","1.31","67","-9.6","-12.3",,"-0.001","0.89","1.11","50","-7.3","-15.3",,"-0.0008"
"ARKMUSDT","9.4","07-02 07:00","1094","0.72","0.91","76","-13.8","-22.5",,"0.0056","0.7","0.85","26","-20.2","-24.4",,"0.0071"
"AGLDUSDT","103.8","06-26 00:00","1093","5.59","10.79","55","-16.2","-31.9",,"-0.0486","1.99","1.31","58","-5.7","-18",,"0.0041"
"YGGUSDT","14.7","07-20 06:00","1086","2.74","4.76","17","-17.9","-36.9","0.4","0.0027","1.32","1.2","46","-7.1","-28.3","7.5","0.0029"
"DODOXUSDT","47.9","07-14 10:00","1083","6.28","137.52","41","-3.2","-20.9","148.3","-0.4204","3.01","98.01","47","12.3","-18.6","274.5","-0.1819"
"BNTUSDT","7.7","06-24 17:00","1081","1.63","0.92","11","-9.1","-13.3",,"-0.056","0.72","0.91","29","-7","-10.4",,"-0.0771"
"SEIUSDT","12.1","06-24 17:00","1074","0.8","0.9","10","12.9","-9.1",,"0.0001","1.12","0.67","5","9.9","-8.3",,"-0.0009"
"CYBERUSDT","12.7","06-25 13:00","1070","1.58","0.77","46","0.9","-13.3",,"0.0008","2.01","1.34","12","3.7","-11.4",,"-0.0002"
"ARKUSDT","32.8","06-26 03:00","1040","0.95","0.9","10","-2.9","-21.4",,"0.0034","2.19","1.43","29","-0.1","-17.6",,"0.0026"
"BICOUSDT","10.4","07-09 18:00","1032","0.88","0.6","44","-31.9","-79","-10.1","-0.0191","0.43","0.53","10","-41.2","-79.5","-8.6","-0.0118"
"BIGTIMEUSDT","7.9","06-25 13:00","1017","1.29","1.07","42","15.7","-19",,"0.005","1.53","0.97","25","20.6","-15.8",,"0.005"
"WAXPUSDT","12","06-25 13:00","1011","2.16","1.38","20","-2.2","-18.8",,"0.0048","1.08","1.46","20","1.6","-15.6",,"0.0042"
"BSVUSDT","17.2","06-30 12:00","1010","0.84","0.88","2","-4.8","-9",,"-0.0363","2.04","2.52","41","-5.1","-6.1",,"-0.0465"
"RIFUSDT","98.5","07-22 16:00","1009","9.1","7.95","18","-54.9","-60","200.2","-0.1446","3.71","1.45","25","-30.7","-39.4","21.7","-0.0066"
"POLYXUSDT","11.4","07-20 06:00","1005","0.71","1.09","2","-4.4","-18.3","0.6","-0.0055","1.2","1.19","56","-2.7","-16.6","2.6","0.0012"
"GASUSDT","11.4","06-28 03:00","1005","2.18","1.65","69","2","-13",,"0.0046","1.41","1.46","97","3.4","-12.7",,"0.0048"
"POWRUSDT","28.2","06-28 00:00","1003","2.15","1.98","44","-3.8","-19",,"-0.0027","0.86","0.88","79","-2.4","-18.3",,"0.0013"
"TIAUSDT","10.2","07-02 23:00","998","0.68","0.82","55","-6.8","-14.6",,"0.002","0.8","1.05","30","-7.7","-15.7",,"0.0013"
"CAKEUSDT","6.5","07-05 00:00","996","0.92","0.78","50","0.9","-3.7",,"0.005","0.86","0.73","85","2.3","-3.2",,"0.005"
"MEMEUSDT","15.5","06-25 13:00","996","0.8","1","9","-5.9","-26.8",,"-0.0013","0.73","0.8","40","-0.2","-22.8",,"-0.0011"
"TWTUSDT","6.4","07-08 19:00","995","1.43","0.72","13","-3.2","-23.9","3","0.0028","0.76","0.76","22","-6.8","-21.9","-2.8","0.0042"
"ORDIUSDT","36.1","06-28 18:00","992","0.57","0.45","48","-5","-13.5",,"0.0034","0.56","0.64","60","-11","-13.8",,"0.0025"
"STEEMUSDT","7.4","06-26 02:00","990","1.08","1.3","27","-3.1","-18.1",,"0.005","2.81","1.58","35","-1.4","-15.2",,"0.0031"
"ILVUSDT","9","07-01 16:00","988","1.03","1.42","68","-15.5","-20.4",,"0.004","0.6","1.33","21","-17","-22.1",,"0.0015"
"KASUSDT","11.4","06-29 05:00","982","1.63","1.13","35","-14","-19.9",,"0.0037","2.48","1.1","38","-0.7","-20",,"0.0042"
"BEAMXUSDT","13.7","07-23 19:00","981","0.38","0.45","3","-5.8","-15.7","-0.7","0.005","0.24","0.52","68","-0.7","-12.5","-0.4","0.005"
"1000BONKUSDT","16.7","07-03 03:00","976","0.62","1.05","88","-2.2","-14.1",,"0.0039","0.72","1.01","72","-6.9","-16.3",,"0.0028"
"PYTHUSDT","18.6","07-05 17:00","976","1.36","0.5","43","6.7","-8.8","-5.5","0.0048","0.48","0.35","24","6","-11.2",,"0.0049"
"SUPERUSDT","6.2","07-01 12:00","972","0.58","0.71","57","-12.4","-19.5",,"0.005","0.24","0.52","5","-15.7","-20.7",,"0.005"
"USTCUSDT","8.2","06-25 13:00","972","1.02","1.01","43","-0.5","-17.5",,"0.0004","0.91","0.96","32","3.2","-13.9",,"-0.0009"
"ONGUSDT","19.4","06-29 02:00","971","1.5","0.62","88","-8.1","-9.9",,"0.0045","1.97","0.81","89","-0.5","-12.7",,"0.0044"
