"symbol","d1","d7","d30","runup","bars","price"
"GASUSDT","-0.2","-7.5","-14.3","23.2","31","0.964"
"POWRUSDT","-0.5","-7.4","-21.5","27.3","31","0.04053"
"TIAUSDT","-0.5","-9.6","-16.1","22.8","31","0.327"
"CAKEUSDT","0.9","-0.8","4.1","15.6","31","1.389"
"MEMEUSDT","-0.5","-5.3","-15.9","15.1","31","0.0005035"
"TWTUSDT","0","6.9","2.9","13.3","31","0.3626"
"ORDIUSDT","-0.7","-7.3","-14.1","37.3","31","3.29"
"STEEMUSDT","-0.4","-6.5","-9.1","14.4","31","0.03721"
"ILVUSDT","-0.4","-6.9","-3.8","24","31","2.786"
"KASUSDT","-0.4","-1.3","-8.2","16.3","31","0.02782"
"BEAMXUSDT","-0.7","-2.4","9.1","36.4","31","0.001493"
"1000BONKUSDT","0","0.8","-29.1","29","31","0.003021"
"PYTHUSDT","-0.7","-16.3","12.5","57.1","31","0.04055"
"SUPERUSDT","0","-4.6","-4.5","14.4","31","0.0827"
"USTCUSDT","0.2","-7.5","-9.6","31.9","31","0.00499"
"ONGUSDT","-0.8","-8.1","-7.2","28.5","31","0.04298"
"ETHWUSDT","0","-4.9","1","43.7","31","0.2291"
"JTOUSDT","0.7","-14.1","-26.9","26.1","31","0.5408"
"1000SATSUSDT","0.4","-4.5","-9.4","21.2","31","9.14E-06"
"AUCTIONUSDT","-0.4","-11.6","-7.5","15.6","31","2.973"
"1000RATSUSDT","0.2","7.4","-12","34.9","31","0.02701"
"ACEUSDT","0","-20.2","-3.6","149.1","31","0.07103"
"MOVRUSDT","-0.3","-10.1","-0.3","38.8","31","1.173"
"XAIUSDT","-0.2","-9.3","-10.6","15.1","31","0.006355"
"WIFUSDT","-0.5","-3.7","-16.4","15.3","31","0.1471"
"MANTAUSDT","1","-5.2","-18.9","25.8","31","0.05961"
"ONDOUSDT","-1.1","-2.7","26.6","39.7","31","0.4016"
"LSKUSDT","-0.1","-14.7","-13.3","18.5","31","0.0744"
"ALTUSDT","-1.7","-7.4","3.2","29.6","31","0.00587"
"JUPUSDT","-0.1","0.3","-12","27.5","31","0.1915"
"ZETAUSDT","0.2","-12.8","-16.9","17.5","31","0.02984"
"RONINUSDT","-0.9","-10.4","-15.6","19.6","31","0.04867"
"DYMUSDT","-0.4","-9.6","-11.4","32.4","31","0.01365"
"PIXELUSDT","-0.5","-6.8","-11.8","32.5","31","0.004233"
"STRKUSDT","-0.6","-5.8","-6","16.7","31","0.02834"
"GLMUSDT","-1.1","-5.3","-2.4","24.2","31","0.09555"
"PORTALUSDT","-0.6","-9.7","-26.6","19.6","31","0.00978"
"AXLUSDT","-0.3","-9.2","-10.4","13.9","31","0.03796"
"METISUSDT","-0.6","-9.6","-8.7","19.4","31","2.509"
"AEVOUSDT","-0.5","-5.4","-1.8","18.6","31","0.01841"
"VANRYUSDT","-2.9","-8.5","44.4","282.2","31","0.004312"
"BOMEUSDT","0.4","27.7","28.3","47.6","31","0.0005439"
"ETHFIUSDT","0.8","-9.3","24.9","56.2","31","0.4184"
"ENAUSDT","-0.4","-7.9","5.5","33","31","0.08306"
"WUSDT","-0.9","-2.6","-8.9","18.8","31","0.00883"
"TNSRUSDT","-0.7","-3.8","-11.1","20","31","0.03072"
"SAGAUSDT","-1","-6.2","-3.9","25.6","31","0.01241"
"TAOUSDT","1","-0.4","-5.6","12.2","31","196.67"
"REZUSDT","-2.4","2.2","-15.9","36.3","31","0.00255"
"BBUSDT","-0.4","-12.5","-16.9","12.6","31","0.01603"
"NOTUSDT","-0.4","-7.4","-12.6","21.9","31","0.0003359"
"TURBOUSDT","-0.1","-6.3","-10.5","21.7","31","0.0007688"
"IOUSDT","-0.4","-9.2","-19.6","21.6","31","0.138"
"ZKUSDT","-1.4","-11.4","-16.9","20.2","31","0.00851"
"MEWUSDT","-0.1","-8.9","-10","15.2","31","0.0003349"
"LISTAUSDT","-0.4","-8.8","-0.9","42.3","31","0.04589"
"ZROUSDT","0.4","1.7","2","40.7","31","0.8214"
"RENDERUSDT","-0.1","-5.8","-9","11.7","31","1.42"
"BANANAUSDT","-1.5","1.1","37.9","64.8","31","3.808"
"RAREUSDT","0","-4","-0.2","31","31","0.01211"
"GUSDT","-0.9","2.6","-9.9","54","31","0.003261"
"SYNUSDT","-2.8","-27.4","-74.3","92.7","31","0.1316"
"BRETTUSDT","-0.6","-3.5","-16.5","21.4","31","0.004395"
"POPCATUSDT","-0.5","-6.5","-7.1","33.4","31","0.0412"
"SUNUSDT","0.1","-3.8","6.1","20.8","31","0.01779"
"DOGSUSDT","-0.1","-5.3","-10.6","41.4","31","3.488E-05"
"FLUXUSDT","0.3","-9.2","-11.5","19.8","31","0.03926"
"RPLUSDT","-0.1","-10.6","15.6","102.8","31","1.588"
"POLUSDT","-1.1","-9.1","1.7","26.7","31","0.07191"
"1MBABYDOGEUSDT","-0.2","-2","2.1","25.9","31","0.0002986"
"NEIROUSDT","-0.6","-2","-6.9","19","31","5.935E-05"
"FIDAUSDT","0.1","-13.1","-17.8","16.9","31","0.018"
"CATIUSDT","-0.3","-12.7","-39.8","22.4","31","0.03437"
"HMSTRUSDT","-0.2","-7.7","-12.2","154.5","31","0.0001681"
"EIGENUSDT","-1.7","-18.5","-12.1","32.3","31","0.1916"
"DIAUSDT","0","17.7","16.5","113.7","31","0.1205"
"1000CATUSDT","-0.2","-2.1","-0.1","27.8","31","0.00129"
"SCRUSDT","-0.1","-17","-29","21.9","31","0.01951"
"GOATUSDT","-0.4","-6.1","-3.4","31.1","31","0.01258"
"MOODENGUSDT","-0.4","-7.7","-11.5","30.5","31","0.03524"
"SAFEUSDT","-2.3","-7.2","0.5","51.8","31","0.08199"
"SANTOSUSDT","0.2","-6.8","-13.7","18","31","0.4747"
"COWUSDT","-1.3","-10","-14.2","12.9","31","0.1237"
"CETUSUSDT","-0.2","-9.8","-1.8","23.9","31","0.01738"
"1000000MOGUSDT","-0.5","0.5","-3.1","21.2","31","0.1031"
"GRASSUSDT","2","-10.1","-29.6","35.1","31","0.3325"
"DRIFTUSDT","-0.1","-13.4","-30.6","19.1","31","0.01143"
"ACTUSDT","0.1","-2.2","-32.2","38.2","31","0.008573"
"PNUTUSDT","-1","-3.8","-6.5","17","31","0.04011"
"BANUSDT","0","-3.6","-8.3","19.3","31","0.07033"
"AKTUSDT","-1.3","-18.9","-29.8","13.7","31","0.4406"
"SCRTUSDT","-0.5","-18.8","-32.8","64.3","31","0.03344"
"1000CHEEMSUSDT","0.6","7.2","6.5","20.1","31","0.0005063"
"THEUSDT","-0.6","-8.8","-3.4","88.1","31","0.05078"
"MORPHOUSDT","0.4","5.8","7.4","33.4","31","2.0236"
"CHILLGUYUSDT","-0.6","-12.6","0.6","60.1","31","0.009044"
"KAIAUSDT","0.5","-16.7","-25.8","16.6","31","0.02671"
"AEROUSDT","-1.3","-0.1","-5.4","36","31","0.4329"
"ACXUSDT","-0.1","-2.3","-5.3","23","31","0.04082"
"ORCAUSDT","-0.5","-2.1","-4.8","15.5","31","1.158"
"MOVEUSDT","-1.9","-22.3","-25.7","24.2","31","0.00828"
"RAYSOLUSDT","-0.5","-10","-4.4","29.5","31","0.6018"
"KOMAUSDT","-0.4","-7.7","14","35.4","31","0.007664"
"VIRTUALUSDT","-0.3","-9.7","3.5","33.1","31","0.5658"
"SPXUSDT","-0.1","-8.7","-7.6","35.6","31","0.3288"
"MEUSDT","0.1","-3.4","3.4","31.3","31","0.06128"
"AVAUSDT","-0.5","-3.6","-8.2","23","31","0.1525"
"VELODROMEUSDT","-0.2","-1.9","-1.9","56.5","31","0.01794"
"MOCAUSDT","0.1","-9.7","-6.7","20.6","31","0.00797"
