"symbol","grp","pump24h","pumpDate","ageDays","rangePct","baseRange","compress","volRatio","posInRange","r14d","r30d","ddFromHigh","upBars","oiChg48h","fundAvgPct"
"STBLUSDT","CTRL","13.6","07-21 22:00","312","10","9.3","1.07","0.81","75","-5.4","-8.6","-22.5","22","4.1","0.005"
"0GUSDT","CTRL","19.8","07-14 12:00","311","11.8","5.8","2.04","1.16","13","-14.7","-41.4","-47.2","19","3.9","-0.0064"
"BARDUSDT","CTRL","13.1","07-22 09:00","311","6.7","4.7","1.44","0.49","37","-1.2","-20","-29","21","-3.8","-0.0153"
"ASTERUSDT","CTRL","19","06-16 14:00","310","9.6",,,,"78",,,"-2","25",,"0.005"
"TRADOORUSDT","CTRL","33.3","07-17 21:00","310","9.8","5.2","1.89","0.74","15","0.4","-19.9","-40.2","17","-2","0.0067"
"BLESSUSDT","CTRL","44.6","06-22 00:00","306","19",,,,"70",,,"-6.4","24",,"0.0119"
"FLUIDUSDT","CTRL","28.2","06-30 22:00","305","18.6","11.9","1.57","2.67","16","-27.8",,"-30.1","21",,"0.0045"
"COAIUSDT","CTRL","16.4","06-28 21:00","304","9.5","8.4","1.13","0.61","5","-26.5",,"-41.5","23",,"0.005"
"HANAUSDT","CTRL","32.8","07-19 11:00","303","8.7","5","1.73","0.47","85","-6.3","-5.3","-17.7","24","0.8","0.0174"
"MIRAUSDT","CTRL","25.6","07-03 12:00","303","31.4","12.9","2.43","9.02","50","-3.3",,"-24","28",,"-0.2058"
"ORDERUSDT","CTRL","12.8","07-23 19:00","302","11.1","10","1.11","3.16","54","-0.7","-7.2","-20.2","22","-6.8","0.002"
"LIGHTUSDT","CTRL","19.9","06-19 21:00","302","13.2",,,,"25",,,"-16.2","20",,"0.005"
"XANUSDT","CTRL","25","06-22 05:00","300","9.4",,,,"40",,,"-17.2","19",,"0.005"
"FFUSDT","CTRL","18","07-14 14:00","299","12.7","7.4","1.72","2.09","43","-9","-11.3","-19.8","24","0.6","0.005"
"EDENUSDT","CTRL","27.7","06-18 02:00","299","16.8",,,,"21",,,"-14.4","23",,"0.0045"
"NOMUSDT","CTRL","56.4","06-30 18:00","298","8.8","21.8","0.4","0.6","36","-20.1",,"-26.9","20",,"0.0012"
"TRUTHUSDT","CTRL","28.1","06-17 05:00","298","17.9",,,,"7",,,"-19","22",,"0.005"
"2ZUSDT","CTRL","29.1","06-20 16:00","297","16.8",,,,"12",,,"-12.7","25",,"0.0035"
"EVAAUSDT","CTRL","200.9","07-12 00:00","296","85.8","22.6","3.79","1.23","23","134",,"-51.2","26","3","0.0131"
"LYNUSDT","CTRL","20","07-17 18:00","293","9.9","6.4","1.55","2.67","75","1.9","-0.6","-16","26","3.9","0.0177"
"KGENUSDT","CTRL","26.1","06-26 22:00","291","15.2","18.5","0.82","1.34","66",,,"-7.8","23",,"0.005"
"4USDT","CTRL","27.8","07-04 23:00","291","13.1","12.9","1.01","1.08","67","17.5",,"-3.8","26",,"0.0127"
"GIGGLEUSDT","CTRL","17.6","07-05 00:00","290","11.2","9.8","1.14","1.51","84","1.5",,"-8.7","24",,"0.005"
"MONUSDT","CTRL","19.1","07-05 15:00","289","6","6.3","0.95","0.73","40","-2.4",,"-13.8","24","0.3","-0.0062"
"YBUSDT","CTRL","27.3","07-18 15:00","288","8","16.5","0.49","1.48","23","-3.4","-3.2","-24.6","19","-4.7","0.005"
"METUSDT","CTRL","36.6","06-19 00:00","288","12.2",,,,"16",,,"-13.9","20",,"0.0047"
"ENSOUSDT","CTRL","10.6","06-22 00:00","285","11.7",,,,"16",,,"-13.8","23",,"-0.0009"
"CLOUSDT","CTRL","57.1","06-17 05:00","285","111.8",,,,"3",,,"-51.3","20",,"0.027"
"RECALLUSDT","CTRL","16.8","06-24 05:00","284","12","12.5","0.96","0.52","17",,,"-20.4","21",,"0.005"
"ZBTUSDT","CTRL","42.3","06-30 11:00","282","7.5","14.7","0.51","0.64","6","-14.5",,"-26.6","22",,"0.005"
"LABUSDT","CTRL","174.5","07-04 01:00","281","106.5","28.2","3.77","1.12","8","-50.2",,"-70.4","22",,"-0.2781"
"RIVERUSDT","CTRL","12.2","07-02 20:00","281","7.2","24","0.3","0.83","54","-18.4",,"-27.2","24",,"0.0129"
"BLUAIUSDT","CTRL","35.3","07-08 01:00","278","15.2","10.8","1.4","1.74","48","1.5",,"-13.7","20","3","0.0174"
"TURTLEUSDT","CTRL","14.6","07-19 15:00","276","2.2","4.3","0.51","0.74","84","-7","-3.1","-12.9","22","4.9","0.0041"
"APRUSDT","CTRL","43.7","07-23 17:00","276","42.8","9.5","4.53","1.88","3","-24.1","-20.4","-36.4","21","0.4","0.0084"
"KITEUSDT","CTRL","24.5","07-12 08:00","270","10.6","13.8","0.77","0.53","2","-14.7",,"-43.9","20","0.6","0.0126"
"ATUSDT","CTRL","21.7","06-16 18:00","270","14.1",,,,"9",,,"-13.2","18",,"0.005"
"CCUSDT","CTRL","10","06-30 11:00","268","13.8","7.9","1.74","0.91","18","-16.2",,"-19.1","16",,"0.0015"
"MMTUSDT","CTRL","32.9","07-09 23:00","264","17.7","15.5","1.14","3.28","50","-13.2",,"-26.4","25","0.3","0.0039"
"TRUSTUSDT","CTRL","17.5","06-18 10:00","263","23.3",,,,"21",,,"-14.9","23",,"-0.0083"
"UAIUSDT","CTRL","33.5","07-08 03:00","262","25.7","14","1.83","2.16","36","3.8",,"-18.9","30","8.3","0.005"
"FOLKSUSDT","CTRL","48.3","06-22 07:00","262","23.8",,,,"4",,,"-32.8","18",,"0.0235"
"STABLEUSDT","CTRL","15.5","07-22 10:00","262","11","5","2.19","0.88","23","1.8","3.4","-9.4","26","-0.5","0.0043"
"JCTUSDT","CTRL","32.8","07-12 12:00","258","15.2","75.7","0.2","0.32","33","-32.9",,"-55","20","0.3","0.0113"
"ALLOUSDT","CTRL","50.2","07-01 23:00","256","28","15.1","1.85","0.39","6","-37.2",,"-50.6","20",,"0.005"
"CLANKERUSDT","CTRL","24.7","06-19 07:00","256","12.5",,,,"35",,,"-13.6","24",,"0.0183"
"BEATUSDT","CTRL","51.2","06-22 20:00","256","19.7",,,,"10",,,"-75.1","23",,"0.0134"
"PIEVERSEUSDT","CTRL","29.8","06-26 18:00","254","13.8","13.9","0.99","1.01","82",,,"-14","23",,"0.0063"
"SENTUSDT","CTRL","27.2","07-08 21:00","253","18.5","11.6","1.59","1.26","25","2.5",,"-34.5","21","-2.2","0.0024"
"IRYSUSDT","CTRL","10.6","07-20 05:00","241","8.7","9.1","0.96","0.61","10","-16.4","-27.9","-36.7","20","3.6","0.005"
"POWERUSDT","CTRL","56.7","07-07 19:00","232","15","20.7","0.73","1.19","47","-16.5",,"-23","23","-3.7","0.007"
"WETUSDT","CTRL","14.7","06-30 15:00","228","12.8","8.1","1.58","0.97","38","-0.4",,"-13.6","24",,"0.005"
"NIGHTUSDT","CTRL","37.5","07-21 00:00","228","83.6","7","12","8.83","25","-47","-42.9","-48.5","19","59","0.0046"
"CYSUSDT","CTRL","14.3","06-30 05:00","226","12.1","11.5","1.05","0.81","7","-28.5",,"-32.2","16",,"0.0055"
"RAVEUSDT","CTRL","81.1","06-28 06:00","223","37.2","8.7","4.28","2.99","70",,,"-19.5","26",,"0.005"
"ZKPUSDT","CTRL","32.3","07-02 04:00","217","6.3","21.4","0.29","0.77","84","-20.1",,"-28.7","22",,"0.005"
"GUAUSDT","CTRL","56.1","06-19 07:00","217","58.8",,,,"6",,,"-34.8","27",,"0.0058"
"LITUSDT","CTRL","22.9","07-05 03:00","214","14.1","15","0.94","0.67","69","36.8",,"-3.9","23",,"-0.0018"
"BREVUSDT","CTRL","54.5","07-01 08:00","208","11.3","20.2","0.56","0.25","25","-16",,"-26.4","22",,"0.005"
"COLLECTUSDT","CTRL","24.3","06-25 13:00","206","18.3","12.5","1.47","0.64","18",,,"-29.4","19",,"0.0054"
"MAGMAUSDT","CTRL","72.4","06-25 16:00","206","12","44.9","0.27","0.3","62",,,"-21.9","24",,"0.0056"
"FOGOUSDT","CTRL","29.8","06-24 21:00","196","21.8","5.6","3.87","1.5","25",,,"-16.7","20",,"0.005"
"FRAXUSDT","CTRL","10.1","07-17 03:00","192","9.9","5.5","1.8","1.13","45","4.7","-10","-15.5","23","12.3","-0.0023"
"SPORTFUNUSDT","CTRL","30.3","06-19 13:00","190","15.9",,,,"22",,,"-11.6","20",,"0.0129"
"AIAUSDT","CTRL","21.6","07-21 16:00","187","7.8","6.5","1.19","0.83","49","5.9","1.8","-8.8","25","0","0.0158"
"ACUUSDT","CTRL","22.6","06-24 17:00","185","11.1","11.2","0.99","0.68","4",,,"-17.5","15",,"0.005"
"ELSAUSDT","CTRL","14.2","07-10 09:00","185","11.1","15.8","0.7","1.37","72","21.7",,"-11.7","24","2.4","0.005"
"SKRUSDT","CTRL","13.4","06-25 13:00","185","12.5","5.9","2.12","1.32","52",,,"-30.2","24",,"-0.0013"
"SPACEUSDT","CTRL","8.3","07-24 13:00","184","8.7","7.6","1.14","1.08","53","1.6","-2.4","-28.7","31","7","0.005"
"FIGHTUSDT","CTRL","15.2","07-09 06:00","184","19.1","10.4","1.84","1.1","19","-16.1",,"-33.9","20","1.5","0.0117"
"BIRBUSDT","CTRL","74.9","07-01 04:00","178","13.3","10","1.33","0.89","15","-26",,"-33.5","16",,"0.005"
"GWEIUSDT","CTRL","69.1","06-28 11:00","178","16.7","13.5","1.24","0.59","68","-18.9",,"-22.7","28",,"0.0146"
"MEGAUSDT","CTRL","23.5","06-17 06:00","177","28.5",,,,"4",,,"-21.4","18",,"-0.0068"
"INXUSDT","CTRL","14.4","06-21 23:00","176","10.4",,,,"39",,,"-10.2","20",,"0.005"
"TRIAUSDT","CTRL","38.9","07-05 21:00","170","15.6","16.8","0.93","1.05","73","2.3",,"-28.8","27","1.1","0.0098"
"ESPUSDT","CTRL","20.2","06-29 15:00","166","6.9","4.1","1.67","0.72","53","-11.4",,"-14","20",,"-0.0018"
"AZTECUSDT","CTRL","10.9","07-20 05:00","165","13.7","13.4","1.02","1.57","32","-4.8","-11","-26.7","21","10","0.005"
"OPNUSDT","CTRL","16.9","07-09 23:00","154","13.2","8.2","1.62","0.75","74","3",,"-30.1","24","1.1","0.0048"
"ROBOUSDT","CTRL","14.8","07-18 20:00","149","16","7.3","2.19","1.38","5","-30.1","-46.6","-50","21","2.6","0.005"
"KATUSDT","CTRL","30.4","07-09 09:00","146","11.8","10.9","1.08","0.99","42","-7.5",,"-26.8","25","-1.1","0.004"
"MANTRAUSDT","CTRL","27.1","07-15 14:00","144","6.9","8.3","0.83","1.53","62","-4.3","-21.7","-26.1","27","-3.7","-0.005"
"CFGUSDT","CTRL","13.6","07-20 12:00","131","8.9","10","0.89","0.63","41","-13.5","-27.6","-33.4","23","-3","0.0031"
"EDGEUSDT","CTRL","66.9","07-07 13:00","128","44.2","10","4.4","5.99","96","-9.8",,"-21.6","28","39","0.0043"
"BSBUSDT","CTRL","48.5","07-13 17:00","123","29.3","23.4","1.25","0.81","5","-52.6",,"-82.6","17","-2.5","0.01"
"XAUTUSDT","CTRL","3.1","07-02 01:00","121","4.1","5.8","0.71","1.36","63","-5.9",,"-7.2","22",,"0.0026"
"BASEDUSDT","CTRL","41.9","06-18 02:00","118","16.8",,,,"39",,,"-10.7","25",,"0.005"
"PRLUSDT","CTRL","14.7","06-30 12:00","116","23.9","25.9","0.92","0.97","19","-9",,"-26","28",,"0.0052"
"GENIUSUSDT","CTRL","21.1","06-18 15:00","101","13",,,,"11",,,"-21.4","20",,"-0.0041"
"CHIPUSDT","CTRL","22.6","07-06 09:00","101","11.4","15.5","0.73","0.93","19","-13.5",,"-30.1","15","1.2","-0.0034"
"OPGUSDT","CTRL","29.3","07-06 04:00","94","8.4","16.7","0.5","0.46","48","-20.6",,"-62.6","20","-4.6","0.005"
"AIGENSYNUSDT","CTRL","73.4","06-29 05:00","87","8.9","10.5","0.86","0.59","97","-18.8",,"-20.5","28",,"0.005"
"BILLUSDT","CTRL","37.3","07-13 07:00","80","42.4","21.8","1.94","6.55","77","16.8",,"-35.9","33","35.7","0.0059"
"PHAROSUSDT","CTRL","23.6","07-22 01:00","73","9.1","13.2","0.69","0.43","54","-16.6","-40.3","-46.8","24","-9","-0.0039"
"STARUSDT","CTRL","36.3","07-02 02:00","73","22.3","21.5","1.04","1.73","0","-31.3",,"-38.4","15",,"-0.0009"
"CTRUSDT","CTRL","19.5","06-24 15:00","59","17.9","13.1","1.36","0.97","17",,,"-16.2","19",,"0.0056"
"SLXUSDT","CTRL","50.9","06-23 11:00","55","16.4","22.8","0.72","0.81","36",,,"-16","27",,"0.0408"
"ZESTUSDT","CTRL","28","06-21 08:00","51","5.4",,,,"12",,,"-10.5","22",,"0.0333"
"BTWUSDT","CTRL","130.6","06-19 18:00","51","93.5",,,,"97",,,"-22.3","27",,"0.1365"
"REUSDT","CTRL","45.4","07-23 07:00","37","37.5","14.8","2.53","4.46","72","-23.1","-44.3","-58","32","8.1","-0.0621"
"ARXUSDT","CTRL","18.5","06-26 12:00","33","29.2",,,,"56",,,"-41","23",,"-0.0174"
"OUSDT","CTRL","35.8","06-27 06:00","32","78.7",,,,"17",,,"-50.3","18",,"-0.137"
"CAPUSDT","CTRL","46.4","06-29 17:00","29","33.5",,,,"6",,,"-34.1","20",,"0.0053"
"GRAMUSDT","CTRL","9.8","07-21 02:00","24","5","5.7","0.88","0.8","44","-16.8",,"-22.5","21","7.7","-0.0155"
"DATAIPUSDT","CTRL","8.7","07-14 01:00","23","8.8","11.2","0.79","0.65","81",,,"-19.4","20","-0.6","-0.1333"
