"symbol","grp","pump24h","pumpDate","ageDays","rangePct","baseRange","compress","volRatio","posInRange","r14d","r30d","ddFromHigh","upBars","oiChg48h","fundAvgPct"
"MTLUSDT","CTRL","6.3","06-26 10:00","1943","7.7","8.4","0.92","1.17","44",,,"-14.8","23",,"-0.002"
"OGNUSDT","CTRL","39.2","07-03 12:00","1943","17.5","11.5","1.52","1.7","47","-7.3",,"-16.8","28",,"0.005"
"1000SHIBUSDT","CTRL","22.1","07-24 19:00","1903","4.3","5","0.87","1.24","48","-4.3","-2.2","-19.6","23","1.4","-0.0068"
"GTCUSDT","CTRL","15.1","07-02 21:00","1959","26.3","13.8","1.9","2.97","51","-3.2",,"-14.8","28",,"0.0338"
"BTCDOMUSDT","CTRL","1.9","06-22 08:00","1865","1.1",,,,"31",,,"-2.5","23",,"0.0124"
"IOTXUSDT","CTRL","7.4","06-20 03:00","1810","7.5",,,,"14",,,"-15.7","24",,"-0.0052"
"C98USDT","CTRL","11","07-10 14:00","1798","8.5","8.7","0.98","1.01","68","1.4",,"-13.4","24","-7","0.0007"
"MASKUSDT","CTRL","11","06-19 10:00","1836","13.9",,,,"14",,,"-11.5","19",,"0.0036"
"DYDXUSDT","CTRL","51.8","06-30 04:00","1781","11.3","17.9","0.63","0.69","44","30.5",,"-5.6","19",,"0.0034"
"1000XECUSDT","CTRL","38.8","07-12 07:00","1774","3.4","9.9","0.34","0.74","22","0.2",,"-14.1","25","-7","0.01"
"GALAUSDT","CTRL","11.6","07-02 15:00","1773","9.5","13.7","0.69","1.06","71","-7.9",,"-17","28",,"0.0097"
"CELOUSDT","CTRL","21.3","06-30 19:00","1764","44.5","8.7","5.1","4.41","3","-9.3",,"-29.9","19",,"-0.1435"
"ARUSDT","CTRL","10.6","06-28 18:00","1762","5.3","4.8","1.12","0.45","18","-8.1",,"-15","20",,"0.0032"
"ARPAUSDT","CTRL","59","07-02 11:00","1742","6.2","9.1","0.69","0.82","91","-3.4",,"-17.7","23",,"0.01"
"CTSIUSDT","CTRL","10.2","06-30 20:00","1735","7.2","10","0.72","1.45","32","-11.7",,"-12.9","26",,"0.0087"
"LPTUSDT","CTRL","6.5","06-26 02:00","1719","11.9","7.5","1.59","1.08","25",,,"-19.2","21",,"-0.0006"
"ENSUSDT","CTRL","8.7","07-16 14:00","1700","6.6","7.8","0.85","1.46","30","0.2","-19.5","-26.7","24","4.8","0.0015"
"PEOPLEUSDT","CTRL","11.3","07-08 08:00","1676","9.9","8.9","1.11","0.88","17","-3.2",,"-13.1","23","0.7","0.01"
"ROSEUSDT","CTRL","7","07-03 04:00","1668","6.6","14.6","0.45","0.75","68","-10.4",,"-23.8","22",,"0.01"
"DUSKUSDT","CTRL","8.7","07-20 12:00","1662","6.2","12.3","0.51","0.7","42","-14.3","-24.2","-35.8","20","3.3","0.0043"
"FLOWUSDT","CTRL","7.9","06-16 14:00","1628","12.4",,,,"50",,,"-5.5","21",,"0.0047"
"IMXUSDT","CTRL","8.9","07-05 09:00","1627","15.9","5.7","2.77","1.45","51","-7",,"-13.2","27",,"0.005"
"API3USDT","CTRL","6.7","07-05 17:00","1616","6.5","5.5","1.18","1.02","13","-13",,"-23.4","22","1.4","0.0034"
"GMTUSDT","CTRL","10.1","06-19 10:00","1595","10.3",,,,"8",,,"-10.9","18",,"0.0037"
"APEUSDT","CTRL","19.5","06-25 13:00","1592","11","9.7","1.13","1.1","80",,,"-5.2","22",,"0.0014"
"WOOUSDT","CTRL","14.3","07-13 21:00","1571","6.4","7.1","0.89","0.87","8","2.2",,"-23.3","19","-1.1","-0.0052"
"JASMYUSDT","CTRL","9.3","06-25 13:00","1559","10.3","7.2","1.43","0.88","42",,,"-17.6","21",,"-0.0118"
"OPUSDT","CTRL","9.8","07-02 20:00","1516","8.8","15.8","0.56","0.8","71","-9.1",,"-12.1","24",,"-0.0041"
"INJUSDT","CTRL","16","06-25 16:00","1440","15","13.9","1.08","1.09","33",,,"-30.9","19",,"-0.0046"
"STGUSDT","CTRL","17.6","07-06 01:00","1432","6.2","16","0.39","0.52","45","-26.3",,"-44.7","22","-2.5","-0.0323"
"SPELLUSDT","CTRL","24.9","07-06 22:00","1420","10.9","6.1","1.79","1.42","35","-22.6",,"-41.2","19","-7.3","-0.0268"
"1000LUNCUSDT","CTRL","9.6","06-25 01:00","1417","18.2","14","1.3","1.17","26",,,"-23.7","22",,"-0.0049"
"LUNA2USDT","CTRL","7.6","06-25 17:00","1416","9.3","11.4","0.81","1.21","44",,,"-15.4","22",,"0.0044"
"LDOUSDT","CTRL","16.8","07-07 05:00","1404","10.6","7.4","1.43","1.15","67","4.7",,"-7","23","2","0.0074"
"ICPUSDT","CTRL","8.1","07-08 18:00","1822","6.5","9.2","0.7","1.21","30","3.9",,"-16.2","23","-6.9","0.0002"
"APTUSDT","CTRL","6","07-01 12:00","1377","7.7","11.6","0.66","0.92","76","-12",,"-18.1","26",,"0.0019"
"QNTUSDT","CTRL","5.7","07-09 02:00","1377","5","6.9","0.73","1.05","48","-4",,"-11.2","27","-11.9","-0.0032"
"FETUSDT","CTRL","12.7","06-26 02:00","1288","12","12.5","0.96","1.14","35",,,"-25.4","20",,"0.0007"
"MAGICUSDT","CTRL","23.6","06-27 19:00","1280","7.7","15","0.52","0.59","48",,,"-18.4","20",,"0.0033"
"TUSDT","CTRL","67.2","07-11 10:00","1272","3.1","6.1","0.51","0.55","75","-0.8",,"-13","24","3.1","0.0029"
"MINAUSDT","CTRL","11.9","07-05 07:00","1269","11.2","5.9","1.9","1.46","51","9.8",,"-4.9","23",,"0.0093"
"ASTRUSDT","CTRL","5.8","07-01 09:00","1259","9.6","9.4","1.02","0.94","24","-16.2",,"-22.9","19",,"0.0039"
"GMXUSDT","CTRL","11.8","06-19 09:00","1256","9",,,,"20",,,"-8.1","23",,"-0.0053"
"CFXUSDT","CTRL","12.6","06-16 14:00","1253","9.2",,,,"69",,,"-2.6","29",,"0.0065"
"STXUSDT","CTRL","7.4","06-26 02:00","1252","12.4","11.7","1.06","1.36","23",,,"-18.7","20",,"-0.0092"
"ACHUSDT","CTRL","9.1","07-01 06:00","1251","8.9","12.1","0.73","0.91","8","-23.7",,"-27.1","17",,"0.0085"
"SSVUSDT","CTRL","6.8","07-01 12:00","1249","8","12.7","0.63","1.05","44","-15.9",,"-19.5","24",,"0.0076"
"CKBUSDT","CTRL","8.6","07-01 07:00","1245","12.3","9.6","1.28","1.02","15","-24.8",,"-30.4","17",,"0.0076"
"LQTYUSDT","CTRL","11.7","07-24 20:00","1236","5.6","6.4","0.89","0.7","20","-6.9","-8.5","-28.6","20","2.8","0.007"
"USDCUSDT","CTRL","0.1","07-12 22:00","1232","0","0","3.11","0.46","0","-0.1",,"-0.2","17","-3.2","0.0024"
"IDUSDT","CTRL","39.5","06-21 05:00","1221","14",,,,"11",,,"-22.2","16",,"-0.0515"
"ARBUSDT","CTRL","19.2","07-09 02:00","1221","6.4","7.9","0.81","1.22","55","2.3",,"-13.6","28","3.8","-0.0019"
"JOEUSDT","CTRL","10.4","06-19 22:00","1216","9.1",,,,"12",,,"-12.2","22",,"0.0053"
"HFTUSDT","CTRL","26.4","06-30 23:00","1208","12.2","11.1","1.1","0.82","1","-25.2",,"-32.8","18",,"0.01"
"XVSUSDT","CTRL","7.5","06-18 15:00","1201","4.8",,,,"41",,,"-2.7","23",,"-0.0145"
"BLURUSDT","CTRL","66.1","07-06 11:00","1186","7.2","8.4","0.86","0.48","18","-5.3",,"-22.8","20","2.9","0.005"
"EDUUSDT","CTRL","13.5","06-23 08:00","1185","16.8",,,,"7",,,"-13.4","18",,"0.01"
"SUIUSDT","CTRL","6.7","06-26 02:00","1180","9.2","15.8","0.58","1.06","41",,,"-18.5","22",,"-0.0004"
"1000PEPEUSDT","CTRL","15.8","07-03 04:00","1178","12","18.4","0.65","1.03","89","-11.4",,"-21.3","25",,"-0.0081"
"1000FLOKIUSDT","CTRL","9.5","07-03 04:00","1177","6.1","13.7","0.45","0.88","80","-15.1",,"-19.7","25",,"-0.0001"
"UMAUSDT","CTRL","7.9","07-10 16:00","1174","4.2","4.4","0.95","0.96","74","-3.3",,"-19.5","24","5.1","0.0025"
"NMRUSDT","CTRL","10.8","07-01 06:00","1130","11.8","8.9","1.32","1.25","78","4.9",,"-6.6","22",,"0.005"
"MAVUSDT","CTRL","14.1","07-07 22:00","1123","5.8","5.3","1.09","0.78","4","-4.8",,"-17","18","-1.9","0.01"
"XVGUSDT","CTRL","12.4","07-19 07:00","1117","4.7","5.3","0.87","0.92","15","-9.6","-19.1","-32.1","26","9","0.0228"
"WLDUSDT","CTRL","17.4","07-02 01:00","1098","22.3","25.8","0.87","0.84","13","-43.9",,"-49.5","21",,"0.007"
"PENDLEUSDT","CTRL","13.6","07-01 12:00","1094","9.1","17.1","0.53","1.31","67","-9.6",,"-12.3","24",,"-0.001"
"ARKMUSDT","CTRL","9.4","07-02 07:00","1094","7.5","10.4","0.72","0.91","76","-13.8",,"-22.5","23",,"0.0056"
"AGLDUSDT","CTRL","103.8","06-26 00:00","1093","75.7","13.5","5.59","10.79","55",,,"-31.9","25",,"-0.0486"
"YGGUSDT","CTRL","14.7","07-20 06:00","1086","18.3","6.7","2.74","4.76","17","-17.9","-28.8","-36.9","20","0.4","0.0027"
"DODOXUSDT","CTRL","47.9","07-14 10:00","1083","54.7","8.7","6.28","137.52","41","-3.2","29.2","-20.9","21","148.3","-0.4204"
"BNTUSDT","CTRL","7.7","06-24 17:00","1081","8.5","5.2","1.63","0.92","11",,,"-13.3","19",,"-0.056"
"SEIUSDT","CTRL","12.1","06-24 17:00","1074","7.3","9","0.8","0.9","10",,,"-9.1","17",,"0.0001"
"CYBERUSDT","CTRL","12.7","06-25 13:00","1070","10.8","6.8","1.58","0.77","46",,,"-13.3","28",,"0.0008"
"ARKUSDT","CTRL","32.8","06-26 03:00","1040","10.2","10.7","0.95","0.9","10",,,"-21.4","22",,"0.0034"
"BICOUSDT","CTRL","103.8","06-19 00:00","1032","11.1",,,,"54",,,"-4.6","21",,"0.0058"
"BIGTIMEUSDT","CTRL","7.9","06-25 13:00","1017","9.9","7.7","1.29","1.07","42",,,"-19","22",,"0.005"
"WAXPUSDT","CTRL","12","06-25 13:00","1011","15","7","2.16","1.38","20",,,"-18.8","21",,"0.0048"
"BSVUSDT","CTRL","17.2","06-30 12:00","1010","7.4","8.8","0.84","0.88","2","-4.8",,"-9","22",,"-0.0363"
"RIFUSDT","CTRL","98.5","07-22 16:00","1009","184","20.2","9.1","7.95","18","-54.9","-29.7","-60","12","200.2","-0.1446"
"POLYXUSDT","CTRL","11.4","07-20 06:00","1005","4.8","6.8","0.71","1.09","2","-4.4","-8.9","-18.3","22","0.6","-0.0055"
"GASUSDT","CTRL","11.4","06-28 03:00","1005","12.6","5.8","2.18","1.65","69",,,"-13","20",,"0.0046"
"POWRUSDT","CTRL","28.2","06-28 00:00","1003","14.5","6.8","2.15","1.98","44",,,"-19","22",,"-0.0027"
"TIAUSDT","CTRL","10.2","07-02 23:00","998","10.5","15.5","0.68","0.82","55","-6.8",,"-14.6","23",,"0.002"
"CAKEUSDT","CTRL","6.5","07-05 00:00","996","4.7","5.1","0.92","0.78","50","0.9",,"-3.7","27",,"0.005"
"MEMEUSDT","CTRL","15.5","06-25 13:00","996","13.3","16.6","0.8","1","9",,,"-26.8","18",,"-0.0013"
"TWTUSDT","CTRL","6.4","07-08 19:00","995","8.5","6","1.43","0.72","13","-3.2",,"-23.9","20","3","0.0028"
"ORDIUSDT","CTRL","36.1","06-28 18:00","992","7","12.3","0.57","0.45","48","-5",,"-13.5","23",,"0.0034"
"STEEMUSDT","CTRL","7.4","06-26 02:00","990","10.4","9.6","1.08","1.3","27",,,"-18.1","21",,"0.005"
"ILVUSDT","CTRL","9","07-01 16:00","988","11.1","10.8","1.03","1.42","68","-15.5",,"-20.4","25",,"0.004"
"KASUSDT","CTRL","11.4","06-29 05:00","982","8","4.9","1.63","1.13","35","-14",,"-19.9","26",,"0.0037"
"BEAMXUSDT","CTRL","13.7","07-23 19:00","981","4.7","12.6","0.38","0.45","3","-5.8","8.7","-15.7","17","-0.7","0.005"
"1000BONKUSDT","CTRL","16.7","07-03 03:00","976","8.7","13.9","0.62","1.05","88","-2.2",,"-14.1","24",,"0.0039"
"PYTHUSDT","CTRL","18.6","07-05 17:00","976","10.4","7.6","1.36","0.5","43","6.7",,"-8.8","21","-5.5","0.0048"
"SUPERUSDT","CTRL","9.3","06-20 04:00","972","6.3",,,,"35",,,"-9.6","24",,"0.005"
"USTCUSDT","CTRL","8.2","06-25 13:00","972","9.8","9.6","1.02","1.01","43",,,"-17.5","22",,"0.0004"
"ONGUSDT","CTRL","19.4","06-29 02:00","971","7.6","5.1","1.5","0.62","88","-8.1",,"-9.9","25",,"0.0045"
"ETHWUSDT","CTRL","18.6","07-01 16:00","971","8.4","9.7","0.87","0.99","89","-7.4",,"-14.2","23",,"0.005"
"JTOUSDT","CTRL","32.8","06-25 18:00","961","15.6","21.5","0.73","0.69","50",,,"-23.9","24",,"0.0034"
"1000SATSUSDT","CTRL","11.3","06-18 17:00","956","11",,,,"21",,,"-11","21",,"0.005"
"AUCTIONUSDT","CTRL","10.6","06-26 02:00","953","17.2","7.1","2.43","1.72","23",,,"-19.8","21",,"0.0041"
