"symbol","d1","d7","d30","runup","bars","price"
"DEXEUSDT","5.5","-87.7","-80.1","679.4","31","4.268"
"PHAUSDT","2.6","-3.1","-28.3","25","31","0.02258"
"GRIFFAINUSDT","1.7","5.3","1.2","39.8","31","0.0087"
"ZEREBROUSDT","1.9","-17.7","8","54.5","31","0.036204"
"BIOUSDT","-2.2","3.5","-9.4","18.4","31","0.02634"
"COOKIEUSDT","3.4","0","4.4","42.2","31","0.00855"
"ALCHUSDT","2.3","9.3","-58.5","79","31","0.02949"
"SWARMSUSDT","2.9","6.4","9.4","29.2","31","0.006907"
"SONICUSDT","0","-2.7","-9.7","20.2","31","0.02211"
"PROMUSDT","5.1","18.3","71.3","145.4","31","1.891"
"SUSDT","0.2","-2","16.3","47.3","31","0.02345"
"SOLVUSDT","2","-1.6","-11.6","32.5","31","0.002539"
"ARCUSDT","-4.9","-15.8","-29.1","26.5","31","0.05974"
"AVAAIUSDT","-4.9","-17.9","63.1","148.8","31","0.008309"
"TRUMPUSDT","0.6","0.5","-8","17.5","31","1.572"
"MELANIAUSDT","-0.6","1.6","4.8","24.8","31","0.07977"
"VTHOUSDT","0.8","-2.2","-0.9","21.4","31","0.0003601"
"ANIMEUSDT","-1.7","0.7","1.1","32","31","0.00266"
"PIPPINUSDT","0.4","1.5","0.2","57.8","31","0.01675"
"VVVUSDT","6.5","14.1","-3","40.3","31","13.306"
"BERAUSDT","2","-2.2","-12","20","31","0.1793"
"TSTUSDT","5.4","7.8","10.3","37","31","0.011968"
"LAYERUSDT","1","1.5","-0.3","16.8","31","0.06509"
"HEIUSDT","-2.5","-10.2","-37.6","57.8","31","0.0967"
"GPSUSDT","-3","5.5","5","31.4","31","0.009326"
"SHELLUSDT","4.4","3","-4.9","22.8","31","0.02073"
"KAITOUSDT","4.2","9.5","96.8","146.8","31","1.027"
"REDUSDT","0.1","-2.4","4.8","38.3","31","0.0967"
"VICUSDT","-1.6","-0.5","-0.5","30.2","31","0.03711"
"EPICUSDT","-0.2","57","52","171.5","31","0.693"
"BMTUSDT","0.2","4.6","-0.2","24.3","31","0.01201"
"MUBARAKUSDT","4.7","-7.2","6.5","48","31","0.01072"
"FORMUSDT","1.3","4.9","-11.7","17","31","0.1909"
"TUTUSDT","2.8","17.5","41.5","69.5","31","0.0153"
"BROCCOLI714USDT","6","6.5","8.3","24.3","31","0.0127"
"BROCCOLIF3BUSDT","-8.1","-4.8","10.3","103.1","31","0.00565"
"SIRENUSDT","3.1","23.7","-7.3","36.4","31","0.03235"
"BANANAS31USDT","-3.5","0.4","-18.7","23.1","31","0.007061"
"BRUSDT","0.7","-4.5","5","36.5","31","0.1486"
"PLUMEUSDT","4.4","15.9","24","32.3","31","0.01182"
"NILUSDT","3.4","-0.7","2.1","29","31","0.03505"
"PARTIUSDT","0.3","-8","-43.7","38.7","31","0.02764"
"JELLYJELLYUSDT","0.5","-1.3","-1.3","32.7","31","0.05685"
"MAVIAUSDT","1.5","2.1","0.3","34.6","31","0.02707"
"PAXGUSDT","0","1.5","-0.7","6.4","31","4052.79"
"WALUSDT","0.9","0.9","-8.1","18.2","31","0.02906"
"GUNUSDT","-0.7","-1.6","-25.1","32","31","0.003561"
"ATHUSDT","1","-5.9","4.1","24.7","31","0.004393"
"BABYUSDT","-0.2","-1.3","-6.6","17.6","31","0.01236"
"PROMPTUSDT","2.2","8.8","-7.3","27.9","31","0.02083"
"STOUSDT","0.9","-2.7","-17.7","21.2","31","0.04046"
"FHEUSDT","-1.8","8","5.4","43","31","0.02016"
"KERNELUSDT","-1.3","2.6","-12.6","36.1","31","0.03482"
"WCTUSDT","0.6","-2.3","-3.6","20.1","31","0.04025"
"INITUSDT","0","5.9","0.7","22.4","31","0.05547"
"BANKUSDT","16.6","57.6","849.1","1157.7","31","0.35591"
"DEEPUSDT","-0.1","0.2","12.4","43.5","31","0.01734"
"HYPERUSDT","-0.3","-5","-22.8","18.8","31","0.06322"
"JSTUSDT","2.5","6.8","26.7","30.3","31","0.10368"
"SIGNUSDT","0.9","-1.1","-3.9","15.6","31","0.008304"
"PUNDIXUSDT","-0.6","0.1","-10.3","69.3","31","0.08066"
"CTKUSDT","3.5","3.9","-4.6","16.3","31","0.1036"
"AIOTUSDT","-0.3","20.7","2.9","85.6","31","0.0514"
"DOLOUSDT","3","4.4","-5.8","12.8","31","0.0224"
"HAEDALUSDT","1.3","2.2","-2.5","44.4","31","0.01559"
"SXTUSDT","-4.9","-9.5","-7.1","67.9","31","0.006625"
"ASRUSDT","1.2","1","-1","12.6","31","0.869"
"ALPINEUSDT","5.4","4.9","2.7","34.7","31","0.3238"
"B2USDT","-1.2","-20.1","-18.7","79","31","0.4262"
"SYRUPUSDT","-0.8","-5.5","27.7","79.8","31","0.17038"
"DOODUSDT","4.3","3.6","1.2","22.9","31","0.001493"
"OGUSDT","0","0.3","1","17.7","31","2.584"
"SKYAIUSDT","-0.4","1","-92.5","100","31","0.02836"
"NXPCUSDT","-0.1","6.8","-5.9","14.1","31","0.259"
"CVCUSDT","1.1","0.3","-3.4","29.1","31","0.01961"
"AGTUSDT","1.5","4.4","-28.2","79.9","31","0.014856"
"AWEUSDT","2.1","-2.1","-13.6","39.2","31","0.05751"
"BUSDT","-8.5","-37.2","-33.8","169.6","31","0.1584"
"SOONUSDT","0.4","6.5","-1.4","20.3","31","0.1698"
"HUMAUSDT","-0.7","-3.2","-8.3","29.7","31","0.02158"
"AUSDT","-0.2","-8.9","0.6","39","31","0.06184"
"SOPHUSDT","0.3","0.1","-6.5","15.7","31","0.004474"
"MERLUSDT","0.8","-1.4","-8.4","33.5","31","0.01728"
"HYPEUSDT","1.6","-4.5","-9.3","20.6","31","58.375"
"1000000BOBUSDT","1.1","0.1","-3","54.9","31","0.01523"
"LAUSDT","-3.9","30.1","-0.7","60.4","31","0.06545"
"HOMEUSDT","-3.6","-15.3","-66.6","87.2","31","0.006353"
"RESOLVUSDT","1.7","-5.6","-12","39.2","31","0.01882"
"TAIKOUSDT","-3.4","0.7","21.6","775.1","31","0.07868"
"SQDUSDT","-1.6","4.4","-7","18.9","31","0.03206"
"PUMPBTCUSDT","3.7","-1","3.3","71.4","31","0.00927"
"SPKUSDT","-1.5","-1.1","-3.8","15","31","0.01669"
"MYXUSDT","-1.7","2.9","-1.9","69.3","31","0.07825"
"FUSDT","-0.4","0.5","-8.1","22.8","31","0.00318"
"NEWTUSDT","-1.3","2.4","-5.2","17.2","31","0.04531"
"HUSDT","2.4","9.7","6.3","79.2","31","0.06413"
"SAHARAUSDT","-0.2","-1.4","-23.9","12.9","31","0.00884"
"ICNTUSDT","1","3.4","-25.3","37.9","31","0.1734"
