"symbol","pump24h","pumpDate","ageDays","compress","volRatio","pos","r14d","dd","oi","fund","compressLag","volRatioLag","posLag","r14dLag","ddLag","oiLag","fundLag"
"CCUSDT","12.9","06-06 04:00","268","3.01","1.96","62","-4.4","-12.6",,"-0.004","1.56","2.24","37","-5.1","-13.5",,"-0.0017"
"MMTUSDT","16.4","05-25 04:00","264","0.74","0.56","56","-16.5","-21.6",,"0.0036","0.8","0.69","58","-11.2","-20.8",,"0.0039"
"TRUSTUSDT","22.7","05-23 12:00","263","1.05","3.39","24","-10.5","-17.2",,"0.005","0.89","0.87","90","-3.1","-12.2",,"0.005"
"UAIUSDT","28.9","06-09 23:00","262","0.91","0.81","70","13.7","-30.2",,"0.005","0.74","0.76","55","8.4","-32",,"0.005"
"FOLKSUSDT","41.1","06-10 01:00","262","1.79","3.25","62","29.8","-7.5",,"0.0746","2.59","1.98","91","29","-2",,"0.0635"
"STABLEUSDT","16.7","05-24 09:00","262","0.65","0.84","65","-0.9","-23",,"-0.0501","0.43","0.6","57","-5.7","-23.8",,"-0.0358"
"JCTUSDT","59.5","06-12 22:00","258","1.88","0.74","10","15","-38.3",,"0.0259","0.79","2.47","23","52.8","-16.6",,"0.0242"
"ALLOUSDT","214.4","05-28 10:00","256","1.26","1.43","95","6.9","-28.7",,"0.0046","1.07","0.54","96","-2.4","-33",,"0.005"
"CLANKERUSDT","12.3","05-16 09:00","256","1.93","1.03","8","58.5","-38.8",,"0.0061","0.68","0.52","9","67.2","-35.2",,"0.0062"
"BEATUSDT","99.6","06-07 06:00","256","1.97","2.93","63","58.8","-14.5",,"0.0574","1.13","2.08","95","61.4","-1.6",,"0.0267"
"PIEVERSEUSDT","42.4","06-01 12:00","254","1.26","0.94","95","-12","-30.1",,"0.0141","0.47","0.58","43","-23.3","-34.6",,"0.0139"
"SENTUSDT","23.3","06-09 00:00","254","3.45","1.32","57","-18","-24.3",,"0.005","1.73","0.91","79","-19.8","-29",,"0.005"
"IRYSUSDT","30.7","05-14 12:00","241","3.67","9.51","38","215.8","-21.5",,"0.0041","3.46","45.89","34","186.2","-30.6",,"0.0336"
"POWERUSDT","43.4","06-08 06:00","232","2.05","0.99","65","-18","-31.9",,"0.0231","0.81","0.7","60","-22.9","-35.5",,"0.0113"
"WETUSDT","9.8","05-26 17:00","228","1.88","1.14","21","-21.4","-25.6",,"0.0044","0.82","0.74","90","-15.7","-19.5",,"0.0035"
"NIGHTUSDT","16","06-07 19:00","228","0.5","0.64","5","-13.3","-30.2",,"0.0037","1.64","1.43","13","-7.5","-26",,"0.005"
"USUSDT","98.4","06-01 23:00","226","1.78","0.47","88","61.6","-15.3",,"0.0099","2.6","0.53","32","32.9","-28.6",,"0.016"
"CYSUSDT","15.6","05-14 08:00","226","1.52","1.74","54","-2.6","-17.5",,"0.0087","1.83","1.66","47","-3.1","-18.2",,"0.0074"
"RAVEUSDT","12.6","05-18 06:00","223","0.57","0.77","41","-12.8","-48.6",,"0.0093","0.74","0.7","42","88.1","-45.5",,"0.0113"
"ZKPUSDT","15.9","06-13 00:00","217","0.51","1.51","44","-21.9","-40.4",,"0.005","0.93","1.69","85","-18.3","-37.8",,"0.005"
"GUAUSDT","146","05-28 00:00","217","17.86","6.51","6","-74","-81.1",,"-0.4198","2.61","2.12","7","-10.4","-31.2",,"-0.0445"
"LITUSDT","35.3","06-02 13:00","214","1.23","0.97","42","39.4","-10.5",,"0.0026","0.84","0.97","30","46.2","-11.4",,"0.002"
